"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"04/04/2017","18:20","06.6","357","07.8","13.1","N/A","1026.6","4.16","0.93","0.98","1.00","17.07"
"04/04/2017","18:25","06.6","353","07.8","13.1","N/A","1026.7","4.20","0.95","1.02","1.00","17.07"
"04/04/2017","18:30","06.4","354","07.3","13.1","N/A","1026.7","4.15","0.83","0.96","0.98","17.07"
"04/04/2017","18:35","06.5","353","07.5","13.2","N/A","1026.7","4.16","0.83","0.97","0.98","17.07"
"04/04/2017","18:40","06.4","351","07.4","13.2","N/A","1026.7","4.16","0.96","1.06","0.98","17.07"
"04/04/2017","18:45","06.5","348","07.3","13.2","N/A","1026.7","4.17","0.89","0.93","0.93","15.06"
"04/04/2017","18:50","06.7","344","07.4","13.2","N/A","1026.8","4.19","1.01","1.13","0.93","15.06"
"04/04/2017","18:55","06.5","342","07.4","13.3","N/A","1026.8","4.18","1.02","1.14","0.93","15.06"
"04/04/2017","19:00","06.3","341","07.0","13.3","N/A","1026.8","4.18","0.97","1.06","1.12","17.07"
"04/04/2017","19:05","05.9","341","06.8","13.4","N/A","1026.7","4.17","0.72","0.82","1.12","17.07"
"04/04/2017","19:10","05.9","337","07.0","13.4","N/A","1027.0","4.16","0.74","0.87","1.12","17.07"
"04/04/2017","19:15","05.8","334","06.5","13.4","N/A","1026.8","4.12","0.81","0.94","0.84","17.07"
"04/04/2017","19:20","06.4","330","07.0","13.5","N/A","1027.0","4.09","0.81","0.94","0.84","17.07"
"04/04/2017","19:25","05.8","328","06.5","13.5","N/A","1027.0","4.09","0.74","0.88","0.84","17.07"
"04/04/2017","19:30","05.4","327","06.4","13.5","N/A","1027.0","4.11","0.88","0.99","0.87","17.07"
"04/04/2017","19:35","05.8","332","06.4","13.6","N/A","1027.2","4.03","0.71","0.78","0.87","17.07"
"04/04/2017","19:40","05.7","333","06.2","13.6","N/A","1027.2","4.02","0.81","0.92","0.87","17.07"
"04/04/2017","19:45","05.8","330","06.3","13.6","N/A","1027.2","4.03","0.81","0.86","0.78","15.06"
